"Service","Package","Version","Hide","Notes"
"Microsoft.Azure.DataLake.Store","Microsoft.Azure.DataLake.Store","1.1.20","",""
"Microsoft.Azure.DCAP","Microsoft.Azure.DCAP","1.4.2","",""
"Microsoft.Azure.DocumentDB","Microsoft.Azure.DocumentDB","2.10.3","",""
"Microsoft.Azure.DocumentDB.ChangeFeedProcessor","Microsoft.Azure.DocumentDB.ChangeFeedProcessor","2.3.0","",""
"Microsoft.Azure.DocumentDB.Core","Microsoft.Azure.DocumentDB.Core","2.10.3","",""
"Microsoft.Azure.EventGrid","Microsoft.Azure.EventGrid","3.2.0","",""
"Microsoft.Azure.EventHubs","Microsoft.Azure.EventHubs","4.2.0","","Replaced by: Azure.Messaging.EventHubs"
"Microsoft.Azure.EventHubs.Processor","Microsoft.Azure.EventHubs.Processor","4.2.0","","Replaced by: Azure.Messaging.EventHubs.Processor"
"Microsoft.Azure.EventHubs.ServiceFabricProcessor","Microsoft.Azure.EventHubs.ServiceFabricProcessor","0.5.4","",""
"Microsoft.Azure.Functions.Extensions","Microsoft.Azure.Functions.Extensions","1.0.0","",""
"Microsoft.Azure.KeyVault","Microsoft.Azure.KeyVault","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates"
"Microsoft.Azure.KeyVault.Core","Microsoft.Azure.KeyVault.Core","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates"
"Microsoft.Azure.KeyVault.Cryptography","Microsoft.Azure.KeyVault.Cryptography","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates"
"Microsoft.Azure.KeyVault.Extensions","Microsoft.Azure.KeyVault.Extensions","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates"
"Microsoft.Azure.KeyVault.WebKey","Microsoft.Azure.KeyVault.WebKey","3.0.5","","Replaced By: Azure.Security.KeyVault.Keys<br>Azure.Security.KeyVault.Secrets<br>Azure.Security.KeyVault.Certificates"
"Microsoft.Azure.Management.Analysis","Microsoft.Azure.Management.Analysis","2.0.4","",""
"Microsoft.Azure.Management.AppService.Fluent","Microsoft.Azure.Management.AppService.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Authorization","Microsoft.Azure.Management.Authorization","2.0.1","",""
"Microsoft.Azure.Management.Automation","Microsoft.Azure.Management.Automation","2.0.7","",""
"Microsoft.Azure.Management.Batch","Microsoft.Azure.Management.Batch","10.0.0","",""
"Microsoft.Azure.Management.Batch.Fluent","Microsoft.Azure.Management.Batch.Fluent","1.26.1","",""
"Microsoft.Azure.Management.BatchAI","Microsoft.Azure.Management.BatchAI","2.0.0","",""
"Microsoft.Azure.Management.BatchAI.Fluent","Microsoft.Azure.Management.BatchAI.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Cdn","Microsoft.Azure.Management.Cdn","2.1.0","",""
"Microsoft.Azure.Management.Cdn.Fluent","Microsoft.Azure.Management.Cdn.Fluent","1.33.0","",""
"Microsoft.Azure.Management.CognitiveServices","Microsoft.Azure.Management.CognitiveServices","7.0.0","",""
"Microsoft.Azure.Management.Compute","Microsoft.Azure.Management.Compute","36.0.0","",""
"Microsoft.Azure.Management.Compute.Fluent","Microsoft.Azure.Management.Compute.Fluent","1.33.0","",""
"Microsoft.Azure.Management.Consumption","Microsoft.Azure.Management.Consumption","3.0.2","",""
"Microsoft.Azure.Management.ContainerInstance","Microsoft.Azure.Management.ContainerInstance","2.0.0","",""
"Microsoft.Azure.Management.ContainerInstance.Fluent","Microsoft.Azure.Management.ContainerInstance.Fluent","1.33.0","",""
"Microsoft.Azure.Management.ContainerRegistry","Microsoft.Azure.Management.ContainerRegistry","4.0.0","",""
"Microsoft.Azure.Management.ContainerRegistry.Fluent","Microsoft.Azure.Management.ContainerRegistry.Fluent","1.33.0","",""
"Microsoft.Azure.Management.ContainerService","Microsoft.Azure.Management.ContainerService","1.0.0","",""
"Microsoft.Azure.Management.ContainerService.Fluent","Microsoft.Azure.Management.ContainerService.Fluent","1.33.0","",""
"Microsoft.Azure.Management.CosmosDB","Microsoft.Azure.Management.CosmosDB","1.1.1","",""
"Microsoft.Azure.Management.CosmosDB.Fluent","Microsoft.Azure.Management.CosmosDB.Fluent","1.33.0","",""
"Microsoft.Azure.Management.DataBox","Microsoft.Azure.Management.DataBox","1.1.0","",""
"Microsoft.Azure.Management.DataBoxEdge","Microsoft.Azure.Management.DataBoxEdge","1.0.0","",""
"Microsoft.Azure.Management.DataFactories","Microsoft.Azure.Management.DataFactories","4.13.3","",""
