"Service","Package","Version","Hide","Notes"
"Microsoft.WindowsAzure.Management.Storage","Microsoft.WindowsAzure.Management.Storage","6.0.1","",""
"Microsoft.WindowsAzure.Management.WebSites","Microsoft.WindowsAzure.Management.WebSites","4.0.0","",""
"Microsoft.WindowsAzure.Mobile.Service.ResourceBroker","Microsoft.WindowsAzure.Mobile.Service.ResourceBroker","1.0.2.1","",""
"wastorage","wastorage","4.0.0","",""
"wastorage.redist","wastorage.redist","2.0.0","",""
"wastorage.symbols","wastorage.symbols","2.0.0","",""
"wastorage.v120","wastorage.v120","4.0.0","",""
"wastorage.v140","wastorage.v140","4.0.0","",""
"WindowsAzure.Caching","WindowsAzure.Caching","1.7.0","",""
"WindowsAzure.MobileServices","WindowsAzure.MobileServices","1.3.2","",""
"WindowsAzure.MobileServices.Backend","WindowsAzure.MobileServices.Backend","1.0.478","",""
"WindowsAzure.MobileServices.Backend.Entity","WindowsAzure.MobileServices.Backend.Entity","1.0.478","",""
"WindowsAzure.MobileServices.Backend.Mongo","WindowsAzure.MobileServices.Backend.Mongo","1.0.478","",""
"WindowsAzure.MobileServices.Backend.Security","WindowsAzure.MobileServices.Backend.Security","1.0.478","",""
"WindowsAzure.MobileServices.Backend.SignalR","WindowsAzure.MobileServices.Backend.SignalR","1.0.478","",""
"WindowsAzure.MobileServices.Backend.Storage","WindowsAzure.MobileServices.Backend.Storage","1.0.478","",""
"WindowsAzure.MobileServices.Backend.Tables","WindowsAzure.MobileServices.Backend.Tables","1.0.478","",""
"WindowsAzure.MobileServices.SQLiteStore","WindowsAzure.MobileServices.SQLiteStore","1.0.4","",""
"WindowsAzure.MobileServices.WinJS","WindowsAzure.MobileServices.WinJS","1.2.5","",""
"WindowsAzure.Storage","WindowsAzure.Storage","9.3.3","","Replaced By: Azure.Storage.Blobs<br/>Azure.Storage.Files.Shares<br/>Azure.Storage.Queues"
