"Service","Package","VersionGA","VersionPreview","RepoPath","DocsPath","Type"
"App Configuration","app-configuration","1.0.1","","appconfiguration","","Data"
"Cognitive Search","search-documents","","1.0.0-preview.3","search","","Data"
"Core","core-http","1.1.2","","core","","Data"
"Cosmos","cosmos","3.6.3","","cosmosdb","","Data"
"Event Hubs","event-hubs","5.2.0","","eventhub","","Data"
"Event Hubs - Azure Blob Storage Checkpoint Store","eventhubs-checkpointstore-blob","1.0.0","","eventhub","","Data"
"Form Recognizer","ai-form-recognizer","","1.0.0-preview.2","formrecognizer","","Data"
"Identity","identity","1.0.3","1.1.0-preview.3","identity","","Data"
"Key Vault - Certificates","keyvault-certificates","4.0.1","4.1.0-preview.1","keyvault","","Data"
"Key Vault - Keys","keyvault-keys","4.0.3","4.1.0-preview.1","keyvault","","Data"
"Key Vault - Secrets","keyvault-secrets","4.0.3","4.1.0-preview.1","keyvault","","Data"
"Service Bus","service-bus","1.1.7","7.0.0-preview.2","servicebus","","Data"
"Storage - Blobs","storage-blob","12.1.1","","storage","","Data"
"Storage - File Data Lake","storage-file-datalake","12.0.0","","storage","","Data"
"Storage - File Shares","storage-file-share","12.1.1","","storage","","Data"
"Storage - Queues","storage-queue","12.0.4","","storage","","Data"
"Text Analytics","ai-text-analytics","","1.0.0-preview.4","textanalytics","","Data"
"Storage","arm-storage","","1.0.0-preview.1","storage","","Mgmt"

