"Service","Package","VersionGA","VersionPreview","RepoPath","DocsPath","Type"
"Azure.AI.FormRecognizer","Azure.AI.FormRecognizer","","1.0.0-preview.2","formrecognizer","","Data"
"Azure.AI.TextAnalytics","Azure.AI.TextAnalytics","","1.0.0-preview.4","textanalytics","","Data"
"Azure.Core","Azure.Core","1.2.1","","core","","Data"
"Azure.Cosmos","Azure.Cosmos","","4.0.0-preview3","https://github.com/Azure/azure-cosmos-dotnet-v3/tree/releases/4.0.0-preview3","https://docs.microsoft.com/dotnet/api/azure.cosmos?view=azure-dotnet-preview","Data"
"Azure.Data.AppConfiguration","Azure.Data.AppConfiguration","1.0.0","","appconfiguration","","Data"
"Azure.Extensions.AspNetCore.Configuration.Secrets","Azure.Extensions.AspNetCore.Configuration.Secrets","","1.0.0-preview.2","extensions","","Data"
"Azure.Extensions.AspNetCore.DataProtection.Blobs","Azure.Extensions.AspNetCore.DataProtection.Blobs","","1.0.0-preview.2","extensions","","Data"
"Azure.Extensions.AspNetCore.DataProtection.Keys","Azure.Extensions.AspNetCore.DataProtection.Keys","","1.0.0-preview.2","extensions","","Data"
"Azure.Identity","Azure.Identity","1.1.1","1.2.0-preview.3","identity","","Data"
"Azure.Messaging.EventHubs","Azure.Messaging.EventHubs","5.1.0","","eventhub","","Data"
"Azure.Messaging.EventHubs.Processor","Azure.Messaging.EventHubs.Processor","5.1.0","","eventhub","","Data"
"Azure.Messaging.ServiceBus","Azure.Messaging.ServiceBus","","7.0.0-preview.2","servicebus","","Data"
"Azure.Search.Documents","Azure.Search.Documents","","1.0.0-preview.3","search","","Data"
"Azure.Security.KeyVault.Certificates","Azure.Security.KeyVault.Certificates","4.0.2","4.1.0-preview.1","keyvault","","Data"
"Azure.Security.KeyVault.Keys","Azure.Security.KeyVault.Keys","4.0.3","4.1.0-preview.1","keyvault","","Data"
"Azure.Security.KeyVault.Secrets","Azure.Security.KeyVault.Secrets","4.0.3","4.1.0-preview.1","keyvault","","Data"
"Azure.Storage.Blobs","Azure.Storage.Blobs","12.4.2","","storage","","Data"
"Azure.Storage.Blobs.Batch","Azure.Storage.Blobs.Batch","12.2.1","","storage","","Data"
"Azure.Storage.Common","Azure.Storage.Common","12.4.1","","storage","","Data"
"Azure.Storage.Files.DataLake","Azure.Storage.Files.DataLake","12.2.0","","storage","","Data"
"Azure.Storage.Files.Shares","Azure.Storage.Files.Shares","12.2.1","","storage","","Data"
"Azure.Storage.Queues","Azure.Storage.Queues","12.3.0","","storage","","Data"
"Azure.Management.Storage","Azure.Management.Storage","","1.0.0-preview.1","storage","","Mgmt"
