"Service","Package","VersionGA","VersionPreview","RepoPath","DocsPath","Type"
"App Configuration","azure-data-appconfiguration","1.1.1","","appconfiguration","","Data"
"Cognitive Search","azure-search-documents","","1.0.0-beta.3","search","","Data"
"Cosmos","azure-cosmos","","4.0.1-beta.3","cosmos","","Data"
"Event Hubs","azure-messaging-eventhubs","5.1.0","","eventhubs","","Data"
"Event Hubs - Azure Blob Storage Checkpoint Store","azure-messaging-eventhubs-checkpointstore-blob","1.1.0","","eventhubs","","Data"
"Form Recognizer","azure-ai-formrecognizer","","1.0.0-beta.2","formrecognizer","","Data"
"Identity","azure-identity","1.0.6","1.1.0-beta.4","identity","","Data"
"Key Vault - Certificates","azure-security-keyvault-certificates","4.0.3","4.1.0-beta.2","keyvault","","Data"
"Key Vault - Keys","azure-security-keyvault-keys","4.1.3","4.2.0-beta.3","keyvault","","Data"
"Key Vault - Secrets","azure-security-keyvault-secrets","4.1.3","4.2.0-beta.2","keyvault","","Data"
"Service Bus","azure-messaging-servicebus","","7.0.0-beta.2","servicebus","","Data"
"Storage - Blobs","azure-storage-blob","12.6.1","","storage","","Data"
"Storage - Blobs Batch","azure-storage-blob-batch","12.5.1","","storage","","Data"
"Storage - Blobs Cryptography","azure-storage-blob-cryptography","12.6.1","","storage","","Data"
"Storage - File Data Lake","azure-storage-file-datalake","12.1.1","","storage","","Data"
"Storage - File Shares","azure-storage-file-share","12.4.1","","storage","","Data"
"Storage - Queues","azure-storage-queue","12.5.1","","storage","","Data"
"Text Analytics","azure-ai-textanalytics","","1.0.0-beta.4","textanalytics","","Data"
"Tracing","azure-core-tracing-opentelemetry","","1.0.0-beta.4","core","","Data"
"Storage","azure-mgmt-storage","","2.0.0-SNAPSHOT","storage","","Mgmt"

