Service,ServiceId,SDK,Plane,Language,Track1.Package,Track1.RepoLink,Track1.ColorCode,Track1.Deprecated,Track2.Package,Track2.RepoLink,Track2.ColorCode,Track2.Deprecated,PercentComplete,LatestRelease
Storage,0,Storage - Blobs Batch,data,Python,,,11,false,Exception: Library not needed in language,,10,false,1,
Storage,0,Storage - Blobs Batch,data,Go,,,11,false,Exception: Library not needed in language,,10,false,1,
Event Grid,0,System Events,data,Python,,,11,false,Missing: Created from existing package: Azure.Messaging.EventGrid.SystemEvents,,2,false,0,
Cognitive Services,0,Text Analytics,data,Go,,,11,false,Missing: Created from existing package: Azure.AI.TextAnalytics,,2,false,0,
Cognitive Services,0,Text Translation,data,Go,,,11,false,Missing: Created from existing package: Azure.AI.Translation.Text,,2,false,0,
Web PubSub,0,Web PubSub Client,data,Go,,,11,false,Missing: Created from existing package: Azure.Messaging.WebPubSub.Client,,2,false,0,
Extensions,0,Functions extension for Blob Storage,UNABLE TO BE DETERMINED,Java,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Blobs,,2,false,0,
Extensions,0,Functions extension for Blob Storage,UNABLE TO BE DETERMINED,JavaScript,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Blobs,,2,false,0,
Extensions,0,Functions extension for Blob Storage,UNABLE TO BE DETERMINED,Python,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Blobs,,2,false,0,
Extensions,0,Functions extension for Blob Storage,UNABLE TO BE DETERMINED,Go,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Blobs,,2,false,0,
Extensions,0,Functions extension for Storage Queues,UNABLE TO BE DETERMINED,Java,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Queues,,2,false,0,
Extensions,0,Functions extension for Storage Queues,UNABLE TO BE DETERMINED,JavaScript,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Queues,,2,false,0,
Extensions,0,Functions extension for Storage Queues,UNABLE TO BE DETERMINED,Python,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Queues,,2,false,0,
Extensions,0,Functions extension for Storage Queues,UNABLE TO BE DETERMINED,Go,,,11,false,Missing: Created from existing package: Microsoft.Azure.WebJobs.Extensions.Storage.Queues,,2,false,0,
Provisioning,0,Provisioning - App Configuration,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppConfiguration,,2,false,0,
Provisioning,0,Provisioning - App Configuration,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppConfiguration,,2,false,0,
Provisioning,0,Provisioning - App Configuration,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppConfiguration,,2,false,0,
Provisioning,0,Provisioning - App Configuration,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppConfiguration,,2,false,0,
App Containers,0,Provisioning - App Containers,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppContainers,,2,false,0,
App Containers,0,Provisioning - App Containers,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppContainers,,2,false,0,
App Containers,0,Provisioning - App Containers,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppContainers,,2,false,0,
App Containers,0,Provisioning - App Containers,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppContainers,,2,false,0,
App Service,0,Provisioning - App Service,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppService,,2,false,0,
App Service,0,Provisioning - App Service,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppService,,2,false,0,
App Service,0,Provisioning - App Service,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppService,,2,false,0,
App Service,0,Provisioning - App Service,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.AppService,,2,false,0,
Provisioning,0,Provisioning - Application Insights,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.ApplicationInsights,,2,false,0,
Provisioning,0,Provisioning - Application Insights,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.ApplicationInsights,,2,false,0,
Provisioning,0,Provisioning - Application Insights,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.ApplicationInsights,,2,false,0,
Provisioning,0,Provisioning - Application Insights,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.ApplicationInsights,,2,false,0,
Provisioning,0,Provisioning - Cognitive Services,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.CognitiveServices,,2,false,0,
Provisioning,0,Provisioning - Cognitive Services,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.CognitiveServices,,2,false,0,
Provisioning,0,Provisioning - Cognitive Services,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.CognitiveServices,,2,false,0,
Provisioning,0,Provisioning - Cognitive Services,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.CognitiveServices,,2,false,0,
Container Registry,0,Provisioning - Container Registry,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.ContainerRegistry,,2,false,0,
Container Registry,0,Provisioning - Container Registry,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.ContainerRegistry,,2,false,0,
Container Registry,0,Provisioning - Container Registry,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.ContainerRegistry,,2,false,0,
Container Registry,0,Provisioning - Container Registry,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.ContainerRegistry,,2,false,0,
Provisioning,0,Provisioning - CosmosDB,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.CosmosDB,,2,false,0,
Provisioning,0,Provisioning - CosmosDB,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.CosmosDB,,2,false,0,
Provisioning,0,Provisioning - CosmosDB,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.CosmosDB,,2,false,0,
Provisioning,0,Provisioning - CosmosDB,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.CosmosDB,,2,false,0,
Event Grid,0,Provisioning - Event Grid,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventGrid,,2,false,0,
Event Grid,0,Provisioning - Event Grid,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventGrid,,2,false,0,
Event Grid,0,Provisioning - Event Grid,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventGrid,,2,false,0,
Event Grid,0,Provisioning - Event Grid,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventGrid,,2,false,0,
Provisioning,0,Provisioning - Event Hubs,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventHubs,,2,false,0,
Provisioning,0,Provisioning - Event Hubs,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventHubs,,2,false,0,
Provisioning,0,Provisioning - Event Hubs,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventHubs,,2,false,0,
Provisioning,0,Provisioning - Event Hubs,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.EventHubs,,2,false,0,
Provisioning,0,Provisioning - Key Vault,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.KeyVault,,2,false,0,
Provisioning,0,Provisioning - Key Vault,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.KeyVault,,2,false,0,
Provisioning,0,Provisioning - Key Vault,mgmt,Python,,,11,false,Missing: Created from existing package: Azure.Provisioning.KeyVault,,2,false,0,
Provisioning,0,Provisioning - Key Vault,mgmt,Go,,,11,false,Missing: Created from existing package: Azure.Provisioning.KeyVault,,2,false,0,
Provisioning,0,Provisioning - Operational Insights,mgmt,Java,,,11,false,Missing: Created from existing package: Azure.Provisioning.OperationalInsights,,2,false,0,
Provisioning,0,Provisioning - Operational Insights,mgmt,JavaScript,,,11,false,Missing: Created from existing package: Azure.Provisioning.OperationalInsights,,2,false,0,
