Package,VersionGA,VersionPreview,DisplayName,ServiceName,RepoPath,MSDocs,GHDocs,Type,New,PlannedVersions,FirstGADate,Support,Hide,Replace,Notes
Microsoft.Rest.ClientRuntime.Azure.Authentication,2.4.1,,Client Runtime - Azure Authentication,AutoRest,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Rest.ClientRuntime.Azure.Authentication_2.4.1/sdk/mgmtcommon/Auth/Az.Auth/Az.Authentication,NA,NA,client,FALSE,,,active,,,
Microsoft.Rest.ClientRuntime.Azure.TestFramework,1.7.7,,Client Runtime - Azure Test Framework,AutoRest,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Rest.ClientRuntime.Azure.TestFramework_1.7.7/sdk/mgmtcommon/TestFramework/ClientRuntime.Azure.TestFramework,NA,NA,client,FALSE,,,active,,,
Microsoft.Rest.ClientRuntime.Etw,2.1.3,,Client Runtime - ETW,AutoRest,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/mgmtcommon/ClientRuntime.Etw,NA,NA,client,FALSE,,,active,,,
Microsoft.Rest.ClientRuntime.Log4Net,2.1.4,,Client Runtime - Log4Net,AutoRest,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/mgmtcommon/ClientRuntime.Log4Net,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Commerce.UsageAggregates,1.5.3,,Commerce Usage Aggregates,Commerce,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Common,2.2.1,,Common,Common,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Common.Authentication,,1.7.0-preview,Common - Authentication,Common,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Common.Dependencies,1.0.0,,Common - Dependencies,Common,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Vision.ComputerVision,6.0.0,6.0.0-preview.1,Computer Vision,Computer Vision,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Vision.ComputerVision_6.0.0-preview.1/sdk/cognitiveservices/Vision.ComputerVision,NA,,client,FALSE,,,active,,,
Microsoft.Azure.ConfigurationManager,4.0.0,,Configuration Manager,Configuration Manager,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.ContainerRegistry,,1.0.0-preview.2,Container Registry,Container Registry,containerregistry,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.ContentModerator,2.0.0,,Content Moderator,Content Moderator,NA,NA,NA,client,FALSE,,,active,,,
Azure.Core.Experimental,,0.1.0-preview.11,Core Experimental,Core,core,,,client,TRUE,,,,TRUE,,Hiding as it is only for experimenting with new Azure.Core features
Azure.Core.Extensions,,1.0.0-preview.6,Core Extensions,Core,NA,NA,NA,client,FALSE,,,,TRUE,,Renamed to Microsoft.Extensions.Azure before GA
Microsoft.Azure.Core.NewtonsoftJson,1.0.0,1.0.0-preview.1,Core Newtonsoft Json,Core,NA,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Core.Spatial,1.0.0,1.0.0-beta.1,Core Spatial,Core,NA,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Core.Spatial.NewtonsoftJson,1.0.0,1.0.0-beta.1,Core Spatial Newtonsoft Json,Core,NA,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Cosmos,3.17.0,3.18.0-preview,Cosmos DB,Cosmos DB,https://github.com/Azure/azure-cosmos-dotnet-v3/tree/3.12.0/Microsoft.Azure.Cosmos,https://docs.microsoft.com/dotnet/api/overview/azure/cosmosdb,NA,client,FALSE,,,active,,Azure.Cosmos,
Microsoft.Azure.CosmosDB.BulkExecutor,,2.5.1-preview,Cosmos DB - BulkExecutor,Cosmos DB,https://github.com/Azure/azure-cosmosdb-bulkexecutor-dotnet-getting-started,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Cosmos.Direct,3.17.3,,Cosmos DB - Direct,Cosmos DB,https://github.com/Azure/azure-cosmos-dotnet-v3,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Cosmos.Encryption,,1.0.0-previewV13,Cosmos DB - Encryption,Cosmos DB,https://github.com/Azure/azure-cosmos-dotnet-v3/tree/releases/encryption/1.0.0-preview4/Microsoft.Azure.Cosmos.Encryption,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.CustomImageSearch,2.0.0,,Custom Image Search,Custom Image Search,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.CustomSearch,2.0.0,,Custom Search,Custom Search,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Vision.CustomVision.Prediction,2.0.0,,Custom Vision Prediction,Custom Vision,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Vision.CustomVision.Prediction_2.0.0/sdk/cognitiveservices/Vision.CustomVision.Prediction,NA,,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Vision.CustomVision.Training,2.0.0,2.1.0-preview,Custom Vision Training,Custom Vision,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Vision.CustomVision.Training_2.0.0/sdk/cognitiveservices/Vision.CustomVision.Training,NA,,client,FALSE,,,active,,,
Microsoft.Azure.DataLake.USQL.SDK,1.4.200831,,Data Lake Analytics,Data Lake Analytics,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.DataLake.Store,,1.2.5-alpha,Data Lake Storage,Data Lake Storage (Gen 1),https://github.com/Azure/azure-data-lake-store-net/tree/1.2.3-alpha,https://docs.microsoft.com/dotnet/api/overview/azure/data-lake-store,NA,client,FALSE,,,,,,
Microsoft.Azure.DCAP,1.8.0,,DCAP,DCAP,https://github.com/microsoft/Azure-DCAP-Client/tree/1.6,NA,NA,client,FALSE,,,active,,,
Azure.DCAP.Windows,1.2.0,,DCAP Windows,DCAP,NA,NA,NA,client,FALSE,,,active,TRUE,,
Microsoft.Azure.Devices.Client,1.36.0,,Devices Client,IoT Plug and Play,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.DocumentDB,2.13.1,,Document DB,Cosmos DB,https://github.com/Azure/azure-cosmos-dotnet-v2,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.DocumentDB.ChangeFeedProcessor,2.3.2,,Document DB - Change Feed Processor,Cosmos DB,https://github.com/Azure/azure-documentdb-changefeedprocessor-dotnet/tree/master,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.DocumentDB.Core,2.13.1,,Document DB - Core,Cosmos DB,https://github.com/Azure/azure-cosmos-dotnet-v2,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.EntitySearch,2.0.0,,Entity Search,Entity Search,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.EventGrid,3.2.0,,Event Grid,Event Grid,eventgrid,https://docs.microsoft.com/dotnet/api/overview/azure/eventgrid,NA,client,FALSE,,,active,,Azure.Messaging.EventGrid,
Microsoft.Azure.EventHubs,4.3.1,,Event Hubs,Event Hubs,eventhub,NA,,client,FALSE,,,maintenance,,Azure.Messaging.EventHubs,
Microsoft.Azure.EventHubs.Processor,4.3.1,,Event Hubs - Processor,Event Hubs,eventhub,NA,,client,FALSE,,,maintenance,,Azure.Messaging.EventHubs.Processor,
Microsoft.Azure.Data.SchemaRegistry.ApacheAvro,,1.0.0-beta.1,Event Hubs - Schema Registry Apache Avro,Event Hubs,NA,NA,,client,FALSE,,,,,,
Microsoft.Azure.EventHubs.ServiceFabricProcessor,0.5.4,,Event Hubs - Service Fabric Processor,Event Hubs,eventhub,NA,NA,client,FALSE,,,maintenance,,,
Microsoft.Extensions.Azure,1.0.0,1.1.0-beta.2,Extensions - Azure,Extensions,extensions,NA,,client,TRUE,,,active,TRUE,,Hiding until 1.1.0 Ga to fix broken repo path
Microsoft.Extensions.Caching.Cosmos,,1.0.0-preview6,Extensions - Caching Cosmos,Cosmos DB,https://github.com/Azure/Microsoft.Extensions.Caching.Cosmos/tree/v1.0.0-preview4,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Vision.Face,,2.7.0-preview.1,Face,Face,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Vision.Face_2.6.0-preview.1/sdk/cognitiveservices/Vision.Face,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.FormRecognizer,,0.8.0-preview,Form Recognizer,Form Recognizer,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/cognitiveservices/FormRecognizer,NA,NA,client,FALSE,,,,,Azure.AI.FormRecognizer,
Microsoft.Azure.Functions.Extensions,1.1.0,1.1.0-preview1,Functions - Extensions,Functions,https://github.com/Azure/azure-functions-dotnet-extensions,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Gallery,,2.6.2-preview,Gallery,App Services,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Graph.RBAC,,3.8.0-preview,Graph RBAC,Microsoft Graph,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/graphrbac,NA,,client,FALSE,,,,,,
Microsoft.Hadoop.Client,1.5.13,,Hadoop Client,HDInsight,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.HDInsight.Job,,3.0.0-preview.2,HDInsight - Job,HDInsight,hdinsight,NA,,client,FALSE,,,,,,
Hyak.Common,1.2.2,,Hyak Common,Hyak Common,NA,NA,NA,client,FALSE,,,active,FALSE,,
Hyak.Common.Tracing.Etw,1.0.2,,Hyak Common - Tracing Etw,Hyak Common,NA,NA,NA,client,FALSE,,,active,FALSE,,
Hyak.Common.Tracing.Log4Net,1.0.2,,Hyak Common - Tracing Log4Net,Hyak Common,NA,NA,NA,client,FALSE,,,active,FALSE,,
Microsoft.Azure.CognitiveServices.Search.ImageSearch,2.0.0,,Image Search,Image Search,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.InformationProtection.File,1.7.147,,Information Protection,Information Protection,NA,NA,NA,client,FALSE,,,active,,,
Azure.AI.InkRecognizer,,1.0.0-preview.1,Ink Recognizer,Ink Recognizer,NA,NA,NA,client,FALSE,,,,TRUE,,Package project cancelled
Microsoft.Azure.Insights,,0.16.0-preview,Insights,Insights,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Jobs,,0.3.2-beta,Jobs,WebJobs,https://github.com/Azure/azure-webjobs-sdk,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Jobs.Core,,0.3.2-beta,Jobs - Core,WebJobs,https://github.com/Azure/azure-webjobs-sdk,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Jobs.ServiceBus,,0.3.2-beta,Jobs - Service Bus,WebJobs,https://github.com/Azure/azure-webjobs-sdk,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.KeyVault,3.0.5,,Key Vault,Key Vault,keyvault,NA,,client,FALSE,,,maintenance,,"Azure.Security.KeyVault.Keys, Azure.Security.KeyVault.Secrets, Azure.Security.KeyVault.Certificates",
Microsoft.Azure.KeyVault.Core,3.0.5,,Key Vault - Core,Storage,keyvault,NA,,client,FALSE,,,maintenance,,"Azure.Security.KeyVault.Keys, Azure.Security.KeyVault.Secrets, Azure.Security.KeyVault.Certificates",
Microsoft.Azure.KeyVault.Cryptography,3.0.5,,Key Vault - Cryptography,Key Vault,keyvault,NA,,client,FALSE,,,maintenance,,"Azure.Security.KeyVault.Keys, Azure.Security.KeyVault.Secrets, Azure.Security.KeyVault.Certificates",
Microsoft.Azure.KeyVault.Extensions,3.0.5,,Key Vault - Extensions,Key Vault,keyvault,NA,,client,FALSE,,,maintenance,,"Azure.Security.KeyVault.Keys, Azure.Security.KeyVault.Secrets, Azure.Security.KeyVault.Certificates",
Microsoft.Azure.KeyVault.WebKey,3.0.5,,Key Vault - WebKey,Key Vault,keyvault,NA,,client,FALSE,,,maintenance,,"Azure.Security.KeyVault.Keys, Azure.Security.KeyVault.Secrets, Azure.Security.KeyVault.Certificates",
Microsoft.Azure.Kinect.BodyTracking,1.0.1,,Kinect Developer Kit,Kinect Developer Kit,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Kinect.Sensor,1.4.1,,Kinect Developer Kit,Kinect Developer Kit,https://github.com/Microsoft/Azure-Kinect-Sensor-SDK,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Kusto.Data,9.0.6,,Kusto,Data Explorer,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.LocalSearch,,0.9.0-preview,Local Search,Local Search,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring,3.1.0,3.2.0-preview.4,LUIS - Authoring,Language Understanding,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring_3.2.0-preview.3/sdk/cognitiveservices/Language.LUIS.Authoring,NA,,client,FALSE,,8/30/2019,active,,,
Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime,,3.1.0-preview.1,LUIS Runtime,Language Understanding,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime_3.1.0-preview.1/sdk/cognitiveservices/Language.LUIS.Runtime,NA,,client,FALSE,,,,,,
Microsoft.Azure.Media.LiveVideoAnalytics.Edge,,1.0.4-preview.1,Media Live Video Analytics Edge,Media Services,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/mediaservices/Microsoft.Azure.Media.LiveVideoAnalytics.Edge,NA,,client,FALSE,,,,,,
Microsoft.Azure.Amqp,2.4.13,,Microsoft.Azure.Amqp,Microsoft.Azure.Amqp,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices,1.31.0,,Microsoft.Azure.Devices,Microsoft.Azure.Devices,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices.Client.PCL,1.0.16,,Microsoft.Azure.Devices.Client.PCL,Microsoft.Azure.Devices.Client.PCL,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices.DigitalTwin.Client,,1.0.0-preview-001,Microsoft.Azure.Devices.DigitalTwin.Client,Microsoft.Azure.Devices.DigitalTwin.Client,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.DigitalTwin.Service,,1.0.0-preview-001,Microsoft.Azure.Devices.DigitalTwin.Service,Microsoft.Azure.Devices.DigitalTwin.Service,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.ProtocolGateway.Core,2.0.1,,Microsoft.Azure.Devices.ProtocolGateway.Core,Microsoft.Azure.Devices.ProtocolGateway.Core,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices.ProtocolGateway.IotHubClient,2.0.1,,Microsoft.Azure.Devices.ProtocolGateway.IotHubClient,Microsoft.Azure.Devices.ProtocolGateway.IotHubClient,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices.ProtocolGateway.Providers.CloudStorage,2.0.1,,Microsoft.Azure.Devices.ProtocolGateway.Providers.CloudStorage,Microsoft.Azure.Devices.ProtocolGateway.Providers.CloudStorage,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices.Provisioning.Client,,1.17.0-preview-001,Microsoft.Azure.Devices.Provisioning.Client,Microsoft.Azure.Devices.Provisioning.Client,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.Provisioning.Security.Tpm,,1.13.0-preview-001,Microsoft.Azure.Devices.Provisioning.Security.Tpm,Microsoft.Azure.Devices.Provisioning.Security.Tpm,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.Provisioning.Service,,1.17.0-preview-001,Microsoft.Azure.Devices.Provisioning.Service,Microsoft.Azure.Devices.Provisioning.Service,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.Provisioning.Transport.Amqp,,1.14.0-preview-001,Microsoft.Azure.Devices.Provisioning.Transport.Amqp,Microsoft.Azure.Devices.Provisioning.Transport.Amqp,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.Provisioning.Transport.Http,,1.13.0-preview-001,Microsoft.Azure.Devices.Provisioning.Transport.Http,Microsoft.Azure.Devices.Provisioning.Transport.Http,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Devices.Provisioning.Transport.Mqtt,1.14.0,1.14.0-preview-001,Microsoft.Azure.Devices.Provisioning.Transport.Mqtt,Microsoft.Azure.Devices.Provisioning.Transport.Mqtt,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Devices.Shared,1.27.0,,Microsoft.Azure.Devices.Shared,Microsoft.Azure.Devices.Shared,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker,1.0.0,1.0.0-preview5,Microsoft.Azure.Functions.Worker,Microsoft.Azure.Functions.Worker,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Functions.Worker.Sdk,1.0.1,1.0.1-preview5,Microsoft.Azure.Functions.Worker.Sdk,Microsoft.Azure.Functions.Worker.Sdk,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.uamqp,1.2.11,,Microsoft.Azure.uamqp,Microsoft.Azure.uamqp,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.umqtt,1.1.11,,Microsoft.Azure.umqtt,Microsoft.Azure.umqtt,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Mobile.Server,2.0.3,,Mobile Apps,Mobile Apps,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.Mobile.Server.CrossDomain,2.0.3,,Mobile Server - Cross Domain,App Service,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.WindowsAzure.Mobile.Service.ResourceBroker,1.0.2.1,,Mobile Service - Resource Broker,App Service,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.NewsSearch,2.0.0,,News Search,News Search,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.NotificationHubs,4.1.0,,Notification Hubs,Notification Hubs,https://github.com/Azure/azure-notificationhubs-dotnet,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.OperationalInsights,1.0.0,,Operational Insights,Operational Insights,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/operationalinsights/Microsoft.Azure.OperationalInsights,NA,,client,FALSE,,,active,,,
dotnet-Perks.CodeGen,2.0.1,,Perks CodeGen,Perks CodeGen,NA,NA,NA,client,FALSE,,,,TRUE,,
Microsoft.Azure.CognitiveServices.Personalizer,1.0.0,,Personalizer,Personalizer,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Personalizer_1.0.0/sdk/cognitiveservices/Personalizer,NA,NA,client,FALSE,,,active,,,
Microsoft.PowerBI.Api,3.20.1,,Power BI,Power BI,https://github.com/Microsoft/PowerBI-CSharp,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker,2.0.1,3.0.0-preview.1,QnA Maker,QnA Maker,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker_2.0.1/sdk/cognitiveservices/Knowledge.QnAMaker,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Relay,2.0.15234,,Relay,Relay,https://github.com/Azure/azure-relay-dotnet/tree/2.0.1,https://docs.microsoft.com/dotnet/api/overview/azure/service-bus-relay,NA,client,FALSE,,,active,,,
Microsoft.Azure.RemoteRendering,0.1.61,,Remote Rendering,Remote Rendering,NA,NA,NA,client,FALSE,,,,TRUE,,Package looks like it doesn't exist anymore
Microsoft.Azure.Search,10.1.0,,Search,Search,search,NA,,client,FALSE,,,maintenance,,Azure.Search.Documents,
Microsoft.Azure.Search.Common,10.1.0,,Search - Common,Search,search,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Search.Data,10.1.0,,Search - Data,Search,search,NA,,client,FALSE,,,active,,,
Microsoft.Azure.Search.Service,10.1.0,,Search - Service,Search,search,NA,,client,FALSE,,,active,,,
Microsoft.Azure.ServiceBus,5.1.2,,Service Bus,Service Bus,servicebus,,,client,FALSE,,,active,,Azure.Messaging.ServiceBus,
Microsoft.Azure.ServiceBus.MessageIdPlugin,2.0.0,,Service Bus - Message ID plugin,Service Bus,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.SignalR,1.8.0,,SignalR,SignalR,https://github.com/Azure/azure-signalr/tree/v1.5.0/src/Microsoft.Azure.SignalR,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.SignalR.AspNet,1.8.0,,SignalR - ASP.NET,SignalR,https://github.com/Azure/azure-signalr/tree/v1.5.0/src/Microsoft.Azure.SignalR.AspNet,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.SignalR.Benchmark,,1.0.0-preview1-10415,SignalR - Benchmark,SignalR,https://github.com/azure/azure-signalr-bench,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.SignalR.Protocols,1.8.0,,SignalR - Protocols,SignalR,https://github.com/Azure/azure-signalr/tree/v1.5.0/src/Microsoft.Azure.SignalR.Protocols,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.SignalR.Serverless.Protocols,1.3.0,,SignalR - Serverless Protocols,SignalR,https://github.com/Azure/azure-functions-signalrservice-extension/tree/v1.2.0/src/Microsoft.Azure.SignalR.Serverless.Protocols,NA,NA,client,FALSE,,,active,,,
Microsoft.CognitiveServices.Speech,1.16.0,,Speech,Speech,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.CognitiveServices.Speech.Remoteconversation,1.16.0,,Speech Remoteconversation,Speech,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.CognitiveServices.Speech.Xamarin.iOS,1.16.0,,Speech Xamarin iOS,Speech,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Language.SpellCheck,,4.1.0-preview.1,Spell Check,Spell Check,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Language.SpellCheck_4.1.0-preview.1/sdk/cognitiveservices/Language.SpellCheck,NA,,client,FALSE,,,,,,
Microsoft.Azure.SpringCloud.Client,,2.0.0-preview.1,Spring Cloud Client,Spring Cloud,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.SqlDatabase.ElasticScale.Client,2.3.0,,SQL Database Elastic Scale Client,SQL Database,https://github.com/Azure/elastic-db-tools/tree/v2.3.0/Src/ElasticScale.Client,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.SqlDatabase.ElasticScale.Service.SplitMerge,1.2.0,,SQL Database Elastic Scale Service SplitMerge,SQL Database,NA,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.SqlDatabase.Jobs,0.8.3362.1,,SQL Database Jobs,SQL Database,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Storage.Blob,11.2.2,,Storage - Blobs,Storage,https://github.com/Azure/azure-storage-net/tree/master/Blob,NA,NA,client,FALSE,,,maintenance,,Azure.Storage.Blobs,
Azure.Storage.Blobs.Batching,,12.0.0-preview.4,Storage - Blobs Batching,Storage,NA,NA,NA,client,FALSE,,,,TRUE,,Renamed to Azure.Storage.Blobs.Batch before GA
Microsoft.Azure.Storage.Common,11.2.2,,Storage - Common,Storage,NA,NA,NA,client,FALSE,,,,TRUE,,
Microsoft.Azure.Storage.CPP,5.0.0,,Storage - CPP,Storage,NA,NA,NA,client,FALSE,,,,TRUE,,
Microsoft.Azure.Storage.CPP.v120,5.0.0,,Storage - CPP v120,Storage,NA,NA,NA,client,FALSE,,,,TRUE,,
Microsoft.Azure.Storage.CPP.v140,5.0.0,,Storage - CPP v140,Storage,NA,NA,NA,client,FALSE,,,,TRUE,,
Microsoft.Azure.Storage.DataMovement,2.0.1,,Storage - Data Movement,Storage,https://github.com/Azure/azure-storage-net-data-movement/tree/v1.3.0,NA,NA,client,FALSE,,,active,,,
Azure.Storage.Files,,12.0.0-preview.4,Storage - Files,Storage,NA,NA,NA,client,FALSE,,,,TRUE,,Renamed before shipping GA
Microsoft.Azure.Storage.File,11.2.2,,Storage - Files Shares,Storage,https://github.com/Azure/azure-storage-net/tree/master/File,NA,NA,client,FALSE,,,maintenance,,Azure.Storage.Files.Shares,
Microsoft.Azure.Storage.Queue,11.2.2,,Storage - Queues,Storage,https://github.com/Azure/azure-storage-net/tree/master/Queue,NA,NA,client,FALSE,,,maintenance,,Azure.Storage.Queues,
Microsoft.Azure.Synapse,,0.1.0-preview,Synapse,Synapse Analytics,synapse,NA,,client,FALSE,,,,,,
Microsoft.Azure.Cosmos.Table,,2.0.0-preview,Tables,Tables,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.CosmosDB.Table,2.1.2,,Tables,Tables,NA,NA,NA,client,FALSE,,,active,,Azure.Data.Tables,
Microsoft.Azure.Template,,1.0.2-preview1,Template,Template,NA,NA,NA,client,FALSE,,,,,,
Microsoft.Azure.Test.HttpRecorder,1.13.3,,Test HttpRecorder,App Service,https://github.com/Azure/azure-sdk-for-net/tree/master/sdk/mgmtcommon/TestFramework/Microsoft.Azure.Test.HttpRecorder,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Language.TextAnalytics,,4.1.0-preview.2,Text Analytics,Text Analytics,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Language.TextAnalytics_4.1.0-preview.2/sdk/cognitiveservices/Language.TextAnalytics,NA,,client,FALSE,,,,,Azure.AI.TextAnalytics,
Microsoft.Azure.CognitiveServices.Search.VideoSearch,2.0.0,,Video Search,Video Search,NA,NA,NA,client,FALSE,,,maintenance,,,
Microsoft.Azure.CognitiveServices.Vision.ContentModerator,,2.1.0-preview.1,Vision Content Moderator,Content Moderator,https://github.com/Azure/azure-sdk-for-net/tree/Microsoft.Azure.CognitiveServices.Vision.ContentModerator_2.1.0-preview.1/sdk/cognitiveservices/Vision.ContentModerator,NA,,client,FALSE,,,,,,
Microsoft.Azure.CognitiveServices.Search.VisualSearch,2.0.0,,Visual Search,Visual Search,NA,NA,NA,client,FALSE,,,maintenance,,,
wastorage,4.0.0,,Wastorage,Storage,NA,NA,NA,client,FALSE,,,maintenance,,,
wastorage.redist,2.0.0,,Wastorage - Redist,Storage,NA,NA,NA,client,FALSE,,,maintenance,,,
wastorage.symbols,2.0.0,,Wastorage - Symbols,Storage,NA,NA,NA,client,FALSE,,,maintenance,TRUE,,
wastorage.v120,4.0.0,,Wastorage V120,Storage,NA,NA,NA,client,FALSE,,,maintenance,TRUE,,
wastorage.v140,4.0.0,,Wastorage V140,Storage,NA,NA,NA,client,FALSE,,,maintenance,TRUE,,
Microsoft.Web.RedisOutputCacheProvider,3.0.1,,Web - Redis Output Cache Provider,Redis Cache,https://github.com/Azure/aspnet-redis-providers/tree/NuGet-Release/RedisOutputCacheProvider-3.0.1/src/OutputCacheProvider,NA,NA,client,FALSE,,,active,,,
Microsoft.Web.RedisSessionStateProvider,4.0.1,,Web - Redis Session State Provider,Redis Cache,https://github.com/Azure/aspnet-redis-providers/tree/NuGet-Release/RedisSessionStateProvider-4.0.1/src/RedisSessionStateProvider,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.CognitiveServices.Search.WebSearch,2.0.0,,Web Search,Web Search,NA,NA,NA,client,FALSE,,,maintenance,,,
Microsoft.Azure.WebJobs,3.0.27,,WebJobs,WebJobs,https://github.com/Azure/azure-webjobs-sdk/tree/v3.0.18/src/Microsoft.Azure.WebJobs,NA,NA,client,FALSE,,,active,,,
Microsoft.Azure.WebJobs.Core,3.0.27,,WebJobs - Core,WebJobs,https://github.com/Azure/azure-webjobs-sdk/tree/v3.0.18,NA,NA,client,FALSE,,,active,,,
