"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","FirstPreviewDate","LatestPreviewDate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"AzureCommunicationCalling","2.15.1","2.16.0-beta.1","Communication Calling","Communication","communication","NA","NA","client","true","","03/19/2025","04/28/2021","04/13/2021","04/09/2025","","","","","","","",""
"AzureCommunicationChat","1.3.7","","Communication Chat","Communication","communication","NA","NA","client","true","","05/02/2025","07/20/2021","06/07/2021","07/26/2022","","","","","","","",""
"AzureCommunicationCommon","1.2.0","","Communication Common","Communication","communication","NA","NA","client","true","","02/22/2024","04/26/2021","04/11/2023","04/11/2023","","","","","","","",""
"AzureCore","","1.0.0-beta.16","Core","Other","core","NA","NA","client","true","","","","04/22/2021","04/08/2025","","","","","","","",""
