"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","FirstPreviewDate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"azure_resourcemanager_costmanagement","","0.0.1","Resource Management - Costmanagement","Cost Management","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_customerinsights","","0.0.1","Resource Management - Customer Insights","Customer Insights","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_databox","","0.0.1","Resource Management - Data Box","Data Box","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_databoxedge","","0.0.1","Resource Management - Data Box Edge","Data Box Edge","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_datadog","","0.0.1","Resource Management - Datadog","Datadog","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_datafactory","","0.0.1","Resource Management - Data Factory","Data Factory","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_datalakeanalytics","","0.0.1","Resource Management - Data Lake Analytics","Data Lake Analytics","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_datalakestore","","0.0.1","Resource Management - Data Lake Store","Data Lake Store","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_datamigration","","0.0.1","Resource Management - Data Migration","Database Migration","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_dataprotectionbackup","","0.0.1","Resource Management - Data Protection","Data Protection","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_datashare","","0.0.1","Resource Management - Data Share","Data Share","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_defendereasm","","0.0.1","Resource Management - Defender EASM","Defender EASM","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_desktopvirtualization","","0.0.1","Resource Management - Desktop Virtualization","Desktop Virtualization","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_devcenter","","0.0.1","Resource Management - Dev Center","Dev Center","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_deviceprovisioningservices","","0.0.1","Resource Management - Device Provisioning Services","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_deviceregistry","","0.0.1","Resource Management - Device Registry","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_deviceupdate","","0.0.1","Resource Management - Device Update","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_devopsinfrastructure","","0.0.1","Resource Management - DevOps Infrastructure","DevOps Infrastructure","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_devspaces","","0.0.1","Resource Management - Dev Spaces","Dev Spaces","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_devtestlabs","","0.0.1","Resource Management - DevTest Labs","DevTest Labs","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_digitaltwins","","0.0.1","Resource Management - Digital Twins","IoT","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_dns","","0.0.1","Resource Management - DNS","DNS","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_dnsresolver","","0.0.1","Resource Management - DNS Resolver","DNS Resolver","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_dynatrace","","0.0.1","Resource Management - Dynatrace","Dynatrace","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_edgeorder","","0.0.1","Resource Management - Edge Order","Edge Order","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_edgezones","","0.0.1","Resource Management - Edge Zones","Edge Zones","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_elastic","","0.0.1","Resource Management - Elastic","Elastic","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_elasticsan","","0.0.1","Resource Management - ElasticSan","Elasticsan","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_energyservices","","0.0.1","Resource Management - Energy Services","Energy Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_eventgrid","","0.0.1","Resource Management - Event Grid","Event Grid","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_eventhubs","","0.0.1","Resource Management - Event Hubs","Event Hubs","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_extendedlocations","","0.0.1","Resource Management - Extended Location","Extended Location","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_fabric","","0.0.1","Resource Management - Fabric","Fabric","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_fluidrelay","","0.0.1","Resource Management - Fluid Relay","Fluid Relay","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_frontdoor","","0.0.1","Resource Management - Front Door","Front Door","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_grafana","","0.0.1","Resource Management - Managed Grafana","Grafana","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_graphservices","","0.0.1","Resource Management - Graph Services","Graph Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_guestconfiguration","","0.0.1","Resource Management - Guest Configuration","Guest Configuration","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hardwaresecuritymodules","","0.0.1","Resource Management - Hardware Security Modules","Hardware Security Modules","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hci","","0.0.1","Resource Management - Azure Stack HCI","Stack HCI","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hdinsight","","0.0.1","Resource Management - HDInsight","HDInsight","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hdinsight_containers","","0.0.1","Resource Management - Hdinsight Containers","Hdinsight Containers","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_healthbot","","0.0.1","Resource Management - Health Bot","Health Bot","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_healthcareapis","","0.0.1","Resource Management - Healthcare APIs","Healthcare APIs","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_healthdataaiservices","","0.0.1","Resource Management - Health Data AI Services","Health Data AI Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hybridcompute","","0.0.1","Resource Management - Hybrid Compute","Hybrid Compute","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hybridconnectivity","","0.0.1","Resource Management - Hybrid Connectivity","Hybrid Connectivity","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hybridcontainerservice","","0.0.1","Resource Management - Hybrid Container Service","Hybrid Container Service","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_resourcemanager_hybridnetwork","","0.0.1","Resource Management - Hybrid Network","Hybrid Network","NA","NA","NA","","false","","","","","","","true","","","","",""
