"SpecPath","SpecReadmeTag","SpecValidationErrors","ServiceFamily","ResourcePath","Version","VersionType","Type","IsTypeSpec","ServiceLifeCycle","DateCreated","JsonFiles"
"cloudhealth/resource-manager","package-2025-05-01-preview","","cloudhealth","Microsoft.CloudHealth","2025-05-01-preview","preview","mgmt","True","Greenfield","","Microsoft.CloudHealth/preview/2025-05-01-preview/cloudhealth.json"
"codesigning/resource-manager","package-2025-10-13","","codesigning","Microsoft.CodeSigning","2025-10-13","preview","mgmt","True","Greenfield","2024-09-30","Microsoft.CodeSigning/stable/2025-10-13/codeSigningAccount.json"
"codesigning/resource-manager/Microsoft.CodeSigning/preview/2024-02-05-preview","","","codesigning","Microsoft.CodeSigning","2024-02-05-preview","preview","mgmt","True","Greenfield","2024-03-14","codeSigningAccount.json"
"codesigning/resource-manager/Microsoft.CodeSigning/preview/2024-09-30-preview","","","codesigning","Microsoft.CodeSigning","2024-09-30-preview","preview","mgmt","True","Greenfield","2024-09-30","codeSigningAccount.json"
"cognitiveservices/data-plane/AnomalyDetector","release_1_1","","cognitiveservices","AnomalyDetector","v1.1","stable","data","True","Brownfield","2022-12-02","stable/v1.1/openapi.json"
"cognitiveservices/data-plane/AzureOpenAI/inference/preview/2023-06-01-preview","","","cognitiveservices","AzureOpenAI/inference","2023-06-01-preview","preview","data","True","Brownfield","2023-06-06","generated.json|inference.json"
"cognitiveservices/data-plane/AzureOpenAI/inference/preview/2023-07-01-preview","","","cognitiveservices","AzureOpenAI/inference","2023-07-01-preview","preview","data","True","Brownfield","2023-07-10","generated.json|inference.json"
"cognitiveservices/data-plane/AzureOpenAI/inference/preview/2023-08-01-preview","","","cognitiveservices","AzureOpenAI/inference","2023-08-01-preview","preview","data","True","Brownfield","2023-08-16","generated.json|inference.json"
"cognitiveservices/data-plane/AzureOpenAI/inference/preview/2023-09-01-preview","","","cognitiveservices","AzureOpenAI/inference","2023-09-01-preview","preview","data","True","Brownfield","2023-09-14","generated.json|inference.json"
"cognitiveservices/data-plane/AzureOpenAI/inference/preview/2023-12-01-preview","","","cognitiveservices","AzureOpenAI/inference","2023-12-01-preview","preview","data","True","Brownfield","2023-11-16","generated.json|inference.json"
"cognitiveservices/data-plane/AzureOpenAI/inference/preview/2024-02-15-preview","","","cognitiveservices","AzureOpenAI/inference","2024-02-15-preview","preview","data","True","Brownfield","2024-02-08","generated.json|inference.json"
