"SpecPath","SpecReadmeTag","SpecValidationErrors","ServiceFamily","ResourcePath","Version","VersionType","Type","IsTypeSpec","ServiceLifeCycle","DateCreated","JsonFiles"
"awsconnector/resource-manager","package-2024-12-01","","awsconnector","Microsoft.AwsConnector","2024-12-01","stable","mgmt","True","Brownfield","","Microsoft.AwsConnector/stable/2024-12-01/accessAnalyzerAnalyzer.json|Microsoft.AwsConnector/stable/2024-12-01/acmCertificateSummary.json|Microsoft.AwsConnector/stable/2024-12-01/apiGatewayRestApi.json|Microsoft.AwsConnector/stable/2024-12-01/apiGatewayStage.json|Microsoft.AwsConnector/stable/2024-12-01/appSyncGraphqlApi.json|Microsoft.AwsConnector/stable/2024-12-01/autoScalingAutoScalingGroup.json|Microsoft.AwsConnector/stable/2024-12-01/cloudFormationStack.json|Microsoft.AwsConnector/stable/2024-12-01/cloudFormationStackSet.json|Microsoft.AwsConnector/stable/2024-12-01/cloudFrontDistribution.json|Microsoft.AwsConnector/stable/2024-12-01/cloudTrailTrail.json|Microsoft.AwsConnector/stable/2024-12-01/cloudWatchAlarm.json|Microsoft.AwsConnector/stable/2024-12-01/codeBuildProject.json|Microsoft.AwsConnector/stable/2024-12-01/codeBuildSourceCredentialsInfo.json|Microsoft.AwsConnector/stable/2024-12-01/configServiceConfigurationRecorder.json|Microsoft.AwsConnector/stable/2024-12-01/configServiceConfigurationRecorderStatus.json|Microsoft.AwsConnector/stable/2024-12-01/configServiceDeliveryChannel.json|Microsoft.AwsConnector/stable/2024-12-01/databaseMigrationServiceReplicationInstance.json|Microsoft.AwsConnector/stable/2024-12-01/daxCluster.json|Microsoft.AwsConnector/stable/2024-12-01/dynamoDBContinuousBackupsDescription.json|Microsoft.AwsConnector/stable/2024-12-01/dynamoDBTable.json|Microsoft.AwsConnector/stable/2024-12-01/ec2AccountAttribute.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Address.json|Microsoft.AwsConnector/stable/2024-12-01/ec2FlowLog.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Image.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Instance.json|Microsoft.AwsConnector/stable/2024-12-01/ec2InstanceStatus.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Ipam.json|Microsoft.AwsConnector/stable/2024-12-01/ec2KeyPair.json|Microsoft.AwsConnector/stable/2024-12-01/ec2NetworkAcl.json|Microsoft.AwsConnector/stable/2024-12-01/ec2NetworkInterface.json|Microsoft.AwsConnector/stable/2024-12-01/ec2RouteTable.json|Microsoft.AwsConnector/stable/2024-12-01/ec2SecurityGroup.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Snapshot.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Subnet.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Volume.json|Microsoft.AwsConnector/stable/2024-12-01/ec2Vpc.json|Microsoft.AwsConnector/stable/2024-12-01/ec2VPCEndpoint.json|Microsoft.AwsConnector/stable/2024-12-01/ec2VPCPeeringConnection.json|Microsoft.AwsConnector/stable/2024-12-01/ecrImageDetail.json|Microsoft.AwsConnector/stable/2024-12-01/ecrRepository.json|Microsoft.AwsConnector/stable/2024-12-01/ecsCluster.json|Microsoft.AwsConnector/stable/2024-12-01/ecsService.json|Microsoft.AwsConnector/stable/2024-12-01/ecsTaskDefinition.json|Microsoft.AwsConnector/stable/2024-12-01/efsFileSystem.json|Microsoft.AwsConnector/stable/2024-12-01/efsMountTarget.json|Microsoft.AwsConnector/stable/2024-12-01/eksCluster.json|Microsoft.AwsConnector/stable/2024-12-01/eksNodegroup.json|Microsoft.AwsConnector/stable/2024-12-01/elasticBeanstalkApplication.json|Microsoft.AwsConnector/stable/2024-12-01/elasticBeanstalkConfigurationTemplate.json|Microsoft.AwsConnector/stable/2024-12-01/elasticBeanstalkEnvironment.json|Microsoft.AwsConnector/stable/2024-12-01/elasticLoadBalancingV2Listener.json|Microsoft.AwsConnector/stable/2024-12-01/elasticLoadBalancingV2LoadBalancer.json|Microsoft.AwsConnector/stable/2024-12-01/elasticLoadBalancingV2TargetGroup.json|Microsoft.AwsConnector/stable/2024-12-01/elasticLoadBalancingV2TargetHealthDescription.json|Microsoft.AwsConnector/stable/2024-12-01/emrCluster.json|Microsoft.AwsConnector/stable/2024-12-01/guardDutyDetector.json|Microsoft.AwsConnector/stable/2024-12-01/iamAccessKeyLastUsed.json|Microsoft.AwsConnector/stable/2024-12-01/iamAccessKeyMetadata.json|Microsoft.AwsConnector/stable/2024-12-01/iamGroup.json|Microsoft.AwsConnector/stable/2024-12-01/iamInstanceProfile.json|Microsoft.AwsConnector/stable/2024-12-01/iamMFADevice.json|Microsoft.AwsConnector/stable/2024-12-01/iamPasswordPolicy.json|Microsoft.AwsConnector/stable/2024-12-01/iamPolicyVersion.json|Microsoft.AwsConnector/stable/2024-12-01/iamRole.json|Microsoft.AwsConnector/stable/2024-12-01/iamServerCertificate.json|Microsoft.AwsConnector/stable/2024-12-01/iamVirtualMFADevice.json|Microsoft.AwsConnector/stable/2024-12-01/kmsAlias.json|Microsoft.AwsConnector/stable/2024-12-01/kmsKey.json|Microsoft.AwsConnector/stable/2024-12-01/lambdaFunction.json|Microsoft.AwsConnector/stable/2024-12-01/lambdaFunctionCodeLocation.json|Microsoft.AwsConnector/stable/2024-12-01/lightsailBucket.json|Microsoft.AwsConnector/stable/2024-12-01/lightsailInstance.json|Microsoft.AwsConnector/stable/2024-12-01/logsLogGroup.json|Microsoft.AwsConnector/stable/2024-12-01/logsLogStream.json|Microsoft.AwsConnector/stable/2024-12-01/logsMetricFilter.json|Microsoft.AwsConnector/stable/2024-12-01/logsSubscriptionFilter.json|Microsoft.AwsConnector/stable/2024-12-01/macie2JobSummary.json|Microsoft.AwsConnector/stable/2024-12-01/macieAllowList.json|Microsoft.AwsConnector/stable/2024-12-01/networkFirewallFirewall.json|Microsoft.AwsConnector/stable/2024-12-01/networkFirewallFirewallPolicy.json|Microsoft.AwsConnector/stable/2024-12-01/networkFirewallRuleGroup.json|Microsoft.AwsConnector/stable/2024-12-01/openSearchDomainStatus.json|Microsoft.AwsConnector/stable/2024-12-01/operations.json|Microsoft.AwsConnector/stable/2024-12-01/organizationsAccount.json|Microsoft.AwsConnector/stable/2024-12-01/organizationsOrganization.json|Microsoft.AwsConnector/stable/2024-12-01/rdsDBCluster.json|Microsoft.AwsConnector/stable/2024-12-01/rdsDBInstance.json|Microsoft.AwsConnector/stable/2024-12-01/rdsDBSnapshot.json|Microsoft.AwsConnector/stable/2024-12-01/rdsDBSnapshotAttributesResult.json|Microsoft.AwsConnector/stable/2024-12-01/rdsEventSubscription.json|Microsoft.AwsConnector/stable/2024-12-01/rdsExportTask.json|Microsoft.AwsConnector/stable/2024-12-01/redshiftCluster.json|Microsoft.AwsConnector/stable/2024-12-01/redshiftClusterParameterGroup.json|Microsoft.AwsConnector/stable/2024-12-01/route53DomainsDomainSummary.json|Microsoft.AwsConnector/stable/2024-12-01/route53HostedZone.json|Microsoft.AwsConnector/stable/2024-12-01/route53ResourceRecordSet.json|Microsoft.AwsConnector/stable/2024-12-01/s3AccessControlPolicy.json|Microsoft.AwsConnector/stable/2024-12-01/s3AccessPoint.json|Microsoft.AwsConnector/stable/2024-12-01/s3Bucket.json|Microsoft.AwsConnector/stable/2024-12-01/s3BucketPolicy.json|Microsoft.AwsConnector/stable/2024-12-01/s3ControlMultiRegionAccessPointPolicyDocument.json|Microsoft.AwsConnector/stable/2024-12-01/sageMakerApp.json|Microsoft.AwsConnector/stable/2024-12-01/sageMakerNotebookInstanceSummary.json|Microsoft.AwsConnector/stable/2024-12-01/secretsManagerResourcePolicy.json|Microsoft.AwsConnector/stable/2024-12-01/secretsManagerSecret.json|Microsoft.AwsConnector/stable/2024-12-01/snsSubscription.json|Microsoft.AwsConnector/stable/2024-12-01/snsTopic.json|Microsoft.AwsConnector/stable/2024-12-01/sqsQueue.json|Microsoft.AwsConnector/stable/2024-12-01/ssmInstanceInformation.json|Microsoft.AwsConnector/stable/2024-12-01/ssmParameter.json|Microsoft.AwsConnector/stable/2024-12-01/ssmResourceComplianceSummaryItem.json|Microsoft.AwsConnector/stable/2024-12-01/wafv2LoggingConfiguration.json|Microsoft.AwsConnector/stable/2024-12-01/wafWebACLSummary.json"
"azuredatatransfer/resource-manager","package-2025-10-10-preview","","azuredatatransfer","Microsoft.AzureDataTransfer","2025-10-10-preview","stable","mgmt","True","Brownfield","2024-10-10","Microsoft.AzureDataTransfer/preview/2025-10-10-preview/azuredatatransfer.json"
"azuredatatransfer/resource-manager/Microsoft.AzureDataTransfer/preview/2025-04-11-preview","","","azuredatatransfer","Microsoft.AzureDataTransfer","2025-04-11-preview","preview","mgmt","True","Brownfield","2025-05-12","azuredatatransfer.json"
"azuredatatransfer/resource-manager/Microsoft.AzureDataTransfer/preview/2025-05-30-preview","","","azuredatatransfer","Microsoft.AzureDataTransfer","2025-05-30-preview","preview","mgmt","True","Brownfield","2025-08-12","azuredatatransfer.json"
"azuredatatransfer/resource-manager/Microsoft.AzureDataTransfer/stable/2025-05-21","","","azuredatatransfer","Microsoft.AzureDataTransfer","2025-05-21","stable","mgmt","True","Brownfield","2025-05-21","azuredatatransfer.json"
"azuredependencymap/resource-manager/Microsoft.DependencyMap/preview/2025-01-31-preview","","","azuredependencymap","Microsoft.DependencyMap","2025-01-31-preview","preview","mgmt","True","Greenfield","2025-02-17","dependencyMap.json"
"azuredependencymap/resource-manager/Microsoft.DependencyMap/preview/2025-05-01-preview","","","azuredependencymap","Microsoft.DependencyMap","2025-05-01-preview","preview","mgmt","True","Greenfield","2025-06-23","dependencyMap.json"
"azuredependencymap/resource-manager/Microsoft.DependencyMap/preview/2025-07-01-preview","","","azuredependencymap","Microsoft.DependencyMap","2025-07-01-preview","preview","mgmt","True","Greenfield","2025-09-12","dependencyMap.json"
"azurefleet/resource-manager/Microsoft.AzureFleet/AzureFleet","package-2024-11-01","","azurefleet","Microsoft.AzureFleet/AzureFleet","2024-11-01","stable","mgmt","True","Brownfield","","stable/2024-11-01/azurefleet.json"
"azurefleet/resource-manager/Microsoft.AzureFleet/AzureFleet/preview/2023-11-01-preview","","","azurefleet","Microsoft.AzureFleet/AzureFleet","2023-11-01-preview","preview","mgmt","True","Brownfield","2025-08-29","azurefleet.json"
