"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"services/batch/mgmt/2017-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2018-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2019-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2019-08-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2020-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2020-05-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2020-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2021-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batch/mgmt/2022-01-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/batch/armbatch","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batchai/mgmt/2018-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","NA","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/batchai/mgmt/2018-05-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","NA","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/botservice/mgmt/2021-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/botservice/armbotservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2015-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2016-04-02","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2016-10-02","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2017-04-02","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2017-10-12","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2019-04-15","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2019-06-15","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2020-04-15","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2020-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cdn/mgmt/2021-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cdn/armcdn","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/changeanalysis/mgmt/2021-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/changeanalysis/armchangeanalysis","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/classic/management","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","NA","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cognitiveservices/mgmt/2017-04-18","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cognitiveservices/armcognitiveservices","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cognitiveservices/mgmt/2021-04-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cognitiveservices/armcognitiveservices","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cognitiveservices/mgmt/2021-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cognitiveservices/armcognitiveservices","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/cognitiveservices/mgmt/2022-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/cognitiveservices/armcognitiveservices","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/communication/mgmt/2020-08-20","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/communication/armcommunication","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2015-06-15","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2016-03-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2017-03-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2017-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2017-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2018-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2018-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2018-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2019-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2019-07-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2019-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2020-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2020-06-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2020-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2021-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2021-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2021-07-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2021-08-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2021-11-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/compute/mgmt/2021-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/compute/armcompute","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/confluent/mgmt/2020-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/confluent/armconfluent","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2017-11-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2018-01-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2018-03-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2018-05-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2018-06-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2018-08-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2018-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2019-01-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/consumption/mgmt/2019-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/consumption/armconsumption","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2018-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2018-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2018-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2018-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2019-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2020-11-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2021-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2021-07-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2021-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerinstance/mgmt/2021-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerinstance/armcontainerinstance","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerregistry/mgmt/2017-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerregistry/armcontainerregistry","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerregistry/mgmt/2017-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerregistry/armcontainerregistry","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerregistry/mgmt/2018-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerregistry/armcontainerregistry","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerregistry/mgmt/2019-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerregistry/armcontainerregistry","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerregistry/mgmt/2019-05-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerregistry/armcontainerregistry","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2016-03-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2016-09-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2017-01-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2017-07-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2017-08-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2017-09-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2018-03-31","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2019-04-30","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2019-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2019-08-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2019-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2019-11-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-01-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-02-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-04-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-06-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-07-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-11-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2020-12-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-02-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-03-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-05-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-07-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-08-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-09-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
"services/containerservice/mgmt/2021-10-01","66.0.0","","","","https://github.com/Azure/azure-sdk-for-go/tree/vitem.Version","NA","NA","mgmt","false","","","","deprecated","9/30/2023","","sdk/resourcemanager/containerservice/armcontainerservice","https://aka.ms/azsdk/golang/t2/migration","","",""
