"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"sdk/resourcemanager/automation/armautomation","","0.8.1","Resource Management - Automation","Automation","resourcemanager/automation/armautomation","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/azuredata/armazuredata","","0.6.0","Resource Management - Azure Data","Azure Data","resourcemanager/azuredata/armazuredata","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/azurestackhci/armazurestackhci","1.1.1","","Resource Management - Azure Stack HCI","Azure Stack HCI","resourcemanager/azurestackhci/armazurestackhci","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/avs/armavs","1.2.1","","Resource Management - Azure VMware Solution","Azure VMware Solution","resourcemanager/avs/armavs","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/recoveryservices/armrecoveryservicesbackup","2.1.1","","Resource Management - Backup","Backup","resourcemanager/recoveryservices/armrecoveryservicesbackup","","NA","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/baremetalinfrastructure/armbaremetalinfrastructure","1.1.0","","Resource Management - BareMetal Infrastructure","BareMetal Infrastructure","resourcemanager/baremetalinfrastructure/armbaremetalinfrastructure","","","mgmt","true","","03/28/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/batch/armbatch","1.2.1","","Resource Management - Batch","Batch","resourcemanager/batch/armbatch","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/billing/armbilling","","0.6.0","Resource Management - Billing","Billing","resourcemanager/billing/armbilling","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/billingbenefits/armbillingbenefits","2.0.0","","Resource Management - Billingbenefits","Billingbenefits","resourcemanager/billingbenefits/armbillingbenefits","","NA","mgmt","true","","04/03/2023","12/20/2022","","","","","","","",""
"sdk/resourcemanager/blockchain/armblockchain","","0.6.0","Resource Management - Blockchain","Blockchain","resourcemanager/blockchain/armblockchain","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/blueprint/armblueprint","","0.6.1","Resource Management - Blueprint","Blueprint","resourcemanager/blueprint/armblueprint","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/botservice/armbotservice","1.1.1","","Resource Management - Bot Service","Bot Service","resourcemanager/botservice/armbotservice","","","mgmt","true","","04/14/2023","01/13/2023","","","","","","","",""
"sdk/resourcemanager/changeanalysis/armchangeanalysis","1.1.1","","Resource Management - Change Analysis","Change Analysis","resourcemanager/changeanalysis/armchangeanalysis","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/resources/armchanges","1.1.1","","Resource Management - Changes","Resources","resourcemanager/resources/armchanges","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/chaos/armchaos","","0.6.1","Resource Management - Chaos","Chaos","resourcemanager/chaos/armchaos","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/search/armsearch","1.1.0","","Resource Management - Cognitive Search","Search","resourcemanager/search/armsearch","","","mgmt","true","","04/03/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/cognitiveservices/armcognitiveservices","1.4.1","","Resource Management - Cognitive Services","Cognitive Services","resourcemanager/cognitiveservices/armcognitiveservices","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/commerce/armcommerce","","0.2.0","Resource Management - Commerce","Commerce","resourcemanager/commerce/armcommerce","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/communication/armcommunication","2.0.1","","Resource Management - Communication","Communication","resourcemanager/communication/armcommunication","","NA","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/compute/armcompute","5.0.0","5.1.0-beta.2","Resource Management - Compute","Compute","resourcemanager/compute/armcompute","","NA","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/confidentialledger/armconfidentialledger","1.1.1","1.2.0-beta.1","Resource Management - Confidential Ledger","Confidential Ledger","resourcemanager/confidentialledger/armconfidentialledger","","","mgmt","true","","","05/24/2022","","","","","","","",""
"sdk/resourcemanager/confluent/armconfluent","1.1.0","","Resource Management - Confluent","Confluent","resourcemanager/confluent/armconfluent","","","mgmt","true","","03/29/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/connectedvmware/armconnectedvmware","","0.2.1","Resource Management - Connected VMWare","Connected VMWare","resourcemanager/connectedvmware/armconnectedvmware","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/consumption/armconsumption","1.1.0","","Resource Management - Consumption","Consumption","resourcemanager/consumption/armconsumption","","","mgmt","true","","03/30/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/appcontainers/armappcontainers","1.1.0","2.0.0-beta.3","Resource Management - Container Apps","Container Apps","resourcemanager/appcontainers/armappcontainers","","NA","mgmt","true","","","05/24/2022","","","","","","","",""
"sdk/resourcemanager/containerinstance/armcontainerinstance","2.3.0","","Resource Management - Container Instances","Container Instances","resourcemanager/containerinstance/armcontainerinstance","","NA","mgmt","true","","04/25/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/containerregistry/armcontainerregistry","1.0.0","1.1.0-beta.3","Resource Management - Container Registry","Container Registry","resourcemanager/containerregistry/armcontainerregistry","","","mgmt","true","","","03/24/2023","","","","","","","",""
"sdk/resourcemanager/containerservice/armcontainerservice","4.0.0","4.1.0-beta.4","Resource Management - Container Service","Container Service","resourcemanager/containerservice/armcontainerservice","","NA","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/containerservicefleet/armcontainerservicefleet","","0.1.0","Resource Management - Container Service Fleet","Container Service Fleet","resourcemanager/containerservicefleet/armcontainerservicefleet","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/cdn/armcdn","1.1.1","","Resource Management - Content Delivery Network","Content Delivery Network","resourcemanager/cdn/armcdn","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/cosmos/armcosmos","2.5.0","3.0.0-beta.1","Resource Management - Cosmos DB","Cosmos DB","resourcemanager/cosmos/armcosmos","","NA","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/cosmosforpostgresql/armcosmosforpostgresql","","0.1.0","Resource Management - Cosmosforpostgresql","Cosmosforpostgresql","resourcemanager/cosmosforpostgresql/armcosmosforpostgresql","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/costmanagement/armcostmanagement","2.0.0","","Resource Management - Cost Management","Cost Management","resourcemanager/costmanagement/armcostmanagement","","NA","mgmt","true","","05/23/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/customproviders/armcustomproviders","","0.6.0","Resource Management - Custom Providers","Custom Providers","resourcemanager/customproviders/armcustomproviders","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/customerinsights/armcustomerinsights","1.1.0","","Resource Management - Customer Insights","Customer Insights","resourcemanager/customerinsights/armcustomerinsights","","","mgmt","true","","03/30/2023","06/10/2022","","","","","","","",""
