Service,Package,Version,RepoPath
Core,Azure.Core,1.0.0,core
App Configuration,Azure.Data.AppConfiguration,1.0.0-preview.4,appconfiguration
Identity,Azure.Identity,1.0.0,identity
EventHubs,Azure.Messaging.EventHubs,5.0.0-preview.5,eventhub
Key Vault - Certificates,Azure.Security.KeyVault.Certificates,4.0.0-preview.6,keyvault
Key Vault - Keys, Azure.Security.KeyVault.Keys,4.0.0,keyvault
Key Vault - Secrets,Azure.Security.KeyVault.Secrets,4.0.0,keyvault
Storage - Blobs,Azure.Storage.Blobs,12.0.0,storage
Storage - Blobs Batch,Azure.Storage.Blobs.Batch,12.0.0,storage
Storage - Common,Azure.Storage.Common,12.0.0,storage
Storage - DataLake,Azure.Storage.Files.DataLake,12.0.0-preview.6,storage
Storage - File Shares,Azure.Storage.Files.Shares,12.0.0-preview.5,storage
Storage - Queues,Azure.Storage.Queues,12.0.0,storage
