Service,Package,Version,RepoPath
App Configuration,azure-data-appconfiguration,1.0.0-preview.6,appconfiguration
Identity,azure-identity,1.0.0,identity
EventHubs,azure-messaging-eventhubs,5.0.0-preview.5,eventhubs
Key Vault - Certificates,azure-security-keyvault-certificates,4.0.0-preview.5,keyvault
Key Vault - Keys,azure-security-keyvault-keys,4.0.0,keyvault
Key Vault - Secrets,azure-security-keyvault-secrets,4.0.0,keyvault
Storage - Blobs,azure-storage-blob,12.0.0,storage
Storage - Blobs Batch,azure-storage-blob-batch,12.0.0,storage
Storage - Blobs Cryptography,azure-storage-blob-cryptography,12.0.0,storage
Storage - File Shares,azure-storage-file-share,12.0.0-preview.5,storage
Storage - Queues,azure-storage-queue,12.0.0,storage
Tracing,azure-core-tracing-opencensus,1.0.0-preview.4,core
