Service,Package,Version,RepoPath
App Configuration,app-configuration,1.0.0-preview.7,appconfiguration
Identity,identity,1.0.0,identity
EventHubs,event-hubs,5.0.0-preview.6,eventhub
Key Vault - Certificates,keyvault-certificates,4.0.0-preview.9,keyvault
Key Vault - Keys,keyvault-keys,4.0.0,keyvault
Key Vault - Secrets,keyvault-secrets,4.0.0,keyvault
Storage - Blobs,storage-blob,12.0.0,storage
Storage - File Shares,storage-file-share,12.0.0-preview.6,storage
Storage - Queues,storage-queue,12.0.0,storage
